,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Furnishing,Built_Type,Built_Size,Price_sqft,Price_room,Rooms_sqft
1125,desa parkcity,1200000,2.0,2.0,2.0,Condominium,Partly Furnished,Built-up,1087.0,1103.9558417663293,600000.0,543.5
1129,desa parkcity,1150000,2.0,1.0,2.0,Condominium,Partly Furnished,Built-up,1034.0,1112.1856866537717,575000.0,517.0
1130,desa parkcity,1590000,3.0,3.0,2.0,Terrace/Link House,Partly Furnished,Built-up,1900.0,836.8421052631579,530000.0,633.3333333333334
1132,desa parkcity,3200000,5.0,6.0,5.0,Terrace/Link House,Partly Furnished,Land area,1991.0,1607.2325464590658,640000.0,398.2
1137,dutamas,750000,1.0,1.0,3.0,Serviced Residence,Fully Furnished,Built-up,672.0,1116.0714285714287,750000.0,672.0
1140,desa parkcity,1580000,3.0,3.0,2.0,Terrace/Link House,Partly Furnished,Built-up,1900.0,831.578947368421,526666.6666666666,633.3333333333334
1141,desa parkcity,1800000,3.0,3.0,2.0,Terrace/Link House,Partly Furnished,Built-up,1900.0,947.3684210526316,600000.0,633.3333333333334
1146,jalan kuching,380000,3.0,2.0,1.0,Apartment,Partly Furnished,Built-up,1216.0,312.5,126666.66666666667,405.3333333333333
1147,setapak,555000,4.0,2.0,3.0,Condominium,Unknown,Built-up,1600.0,346.875,138750.0,400.0
1148,bukit jalil,560000,3.0,2.0,2.0,Condominium,Partly Furnished,Built-up,1100.0,509.09090909090907,186666.66666666666,366.6666666666667
1151,mont kiara,1270000,3.0,2.0,2.0,Condominium,Partly Furnished,Built-up,1200.0,1058.3333333333333,423333.3333333333,400.0
1185,taman tun dr ismail,980000,3.0,2.0,1.0,Condominium,Partly Furnished,Built-up,1300.0,753.8461538461538,326666.6666666667,433.3333333333333
1187,taman tun dr ismail,980000,3.0,2.0,1.0,Condominium,Unknown,Built-up,1356.0,722.7138643067847,326666.6666666667,452.0
1189,taman tun dr ismail,1000000,3.0,2.0,1.0,Condominium,Partly Furnished,Built-up,1560.0,641.025641025641,333333.3333333333,520.0
1192,bangsar,730000,1.0,1.0,1.0,Serviced Residence,Fully Furnished,Built-up,783.0,932.3116219667944,730000.0,783.0
1195,brickfields,560000,3.0,2.0,1.0,Condominium,Unknown,Built-up,1120.0,500.0,186666.66666666666,373.3333333333333
1196,klcc,7500,2.0,2.0,1.0,Serviced Residence,Fully Furnished,Built-up,1078.0,6.957328385899815,3750.0,539.0
1197,sentul,790000,2.0,2.0,1.0,Condominium,Partly Furnished,Built-up,1168.0,676.3698630136986,395000.0,584.0
1198,sentul,885000,3.0,3.0,2.0,Condominium,Partly Furnished,Built-up,1330.0,665.4135338345865,295000.0,443.3333333333333
1200,wangsa maju,760000,3.0,2.0,2.0,Condominium,Unfurnished,Built-up,1382.0,549.9276410998552,253333.33333333334,460.6666666666667
1202,mont kiara,720000,1.0,1.0,1.0,Serviced Residence,Partly Furnished,Built-up,708.0,1016.9491525423729,720000.0,708.0
1206,bukit jalil,520000,3.0,3.0,2.0,Condominium,Unfurnished,Built-up,1003.0,518.444666001994,173333.33333333334,334.3333333333333
1207,mont kiara,950000,2.0,2.0,1.0,Serviced Residence,Fully Furnished,Built-up,903.0,1052.048726467331,475000.0,451.5
1208,klcc,2700000,4.0,5.0,3.0,Condominium,Partly Furnished,Built-up,3800.0,710.5263157894736,675000.0,950.0
1209,klcc,3000000,4.0,5.0,3.0,Condominium,Partly Furnished,Built-up,3800.0,789.4736842105264,750000.0,950.0
1219,kepong,485000,3.0,2.0,1.0,Condominium,Partly Furnished,Built-up,930.0,521.505376344086,161666.66666666666,310.0
1236,taman desa,550000,3.0,2.0,1.0,Condominium,Fully Furnished,Built-up,1200.0,458.3333333333333,183333.33333333334,400.0
1239,bukit jalil,638000,3.0,2.0,2.0,Condominium,Partly Furnished,Built-up,1090.0,585.3211009174312,212666.66666666666,363.3333333333333
